Date,Iteration,Model Type,Activation,Batch Size,Dropout,Batchnorm,Batchnorm Order,Learning Rate,Sparse Data
12/08/2019 15:47,49,classification,relu,128,TRUE,FALSE,before,0.0001,FALSE
12/08/2019 13:45,44,classification,relu,16,FALSE,FALSE,before,0.0001,FALSE
12/08/2019 13:46,48,classification,relu,256,FALSE,FALSE,before,0.0001,FALSE
12/08/2019 17:51,43,regression,relu,128,FALSE,TRUE,after,0.0002,TRUE
12/08/2019 20:43,47,classification,relu,128,FALSE,FALSE,before,0.0001,FALSE
12/08/2019 17:19,42,regression,relu,128,FALSE,FALSE,after,0.0002,TRUE
12/08/2019 18:50,52,regression,relu,128,FALSE,FALSE,after,0.0002,TRUE
12/08/2019 18:54,46,classification,relu,64,FALSE,FALSE,before,0.0001,FALSE
12/08/2019 15:07,41,regression,relu,128,TRUE,FALSE,before,0.0002,FALSE
12/08/2019 18:32,51,classification,relu,128,FALSE,TRUE,after,0.0001,TRUE
12/08/2019 18:00,50,classification,relu,128,FALSE,FALSE,after,0.0001,TRUE
12/08/2019 16:51,45,classification,relu,32,FALSE,FALSE,before,0.0001,FALSE
12/08/2019 18:49,40,regression,relu,256,FALSE,FALSE,before,0.0002,FALSE
07/08/2019 21:03,24,regression,relu,128,FALSE,TRUE,before,0.0002,FALSE
12/08/2019 20:07,39,regression,relu,128,FALSE,FALSE,before,0.0002,FALSE
07/08/2019 21:40,19,regression,relu,64,FALSE,FALSE,before,0.0002,FALSE
05/08/2019 10:24,9,regression,relu,128,FALSE,FALSE,before,0.0001,FALSE
05/08/2019 12:27,14,classification,relu,128,FALSE,FALSE,before,0.00005,FALSE
07/08/2019 22:13,29,classification,relu,64,FALSE,FALSE,before,0.0001,FALSE
07/08/2019 21:20,34,classification,relu,128,FALSE,TRUE,before,0.0001,FALSE
05/08/2019 15:48,4,regression,relu,128,FALSE,FALSE,before,0.0002,FALSE
07/08/2019 18:51,23,regression,relu,128,TRUE,FALSE,before,0.0002,FALSE
12/08/2019 18:12,38,regression,relu,64,FALSE,FALSE,before,0.0002,FALSE
05/08/2019 10:22,13,classification,relu,128,FALSE,FALSE,before,0.0001,FALSE
07/08/2019 19:44,18,regression,relu,32,FALSE,FALSE,before,0.0002,FALSE
05/08/2019 15:16,8,classification,relu,128,FALSE,FALSE,before,0.0002,FALSE
07/08/2019 20:03,28,classification,relu,32,FALSE,FALSE,before,0.0001,FALSE
05/08/2019 13:42,3,regression,relu,128,FALSE,FALSE,before,0.0005,FALSE
07/08/2019 19:07,33,classification,relu,128,TRUE,FALSE,before,0.0001,FALSE
07/08/2019 17:06,22,regression,relu,256,FALSE,FALSE,before,0.0002,FALSE
12/08/2019 15:55,37,regression,relu,32,FALSE,FALSE,before,0.0002,FALSE
07/08/2019 17:07,27,classification,relu,16,FALSE,FALSE,before,0.0001,FALSE
07/08/2019 17:05,17,regression,relu,16,FALSE,FALSE,before,0.0002,FALSE
05/08/2019 13:15,7,classification,relu,128,FALSE,FALSE,before,0.0005,FALSE
07/08/2019 17:07,32,classification,relu,256,FALSE,FALSE,before,0.0001,FALSE
05/08/2019 15:44,12,regression,relu,128,FALSE,FALSE,before,0.000005,FALSE
05/08/2019 11:41,2,regression,relu,128,FALSE,FALSE,before,0.001,FALSE
12/08/2019 13:42,36,regression,relu,16,FALSE,FALSE,before,0.0002,FALSE
08/08/2019 01:16,21,regression,lrelu,32,FALSE,FALSE,before,0.0002,FALSE
08/08/2019 01:45,26,regression,lrelu,256,FALSE,FALSE,before,0.0002,FALSE
08/08/2019 02:26,31,classification,lrelu,32,FALSE,FALSE,before,0.0001,FALSE
05/08/2019 11:26,6,classification,relu,128,FALSE,FALSE,before,0.001,FALSE
05/08/2019 16:40,16,classification,relu,128,FALSE,FALSE,before,0.000005,FALSE
05/08/2019 14:07,11,regression,relu,128,FALSE,FALSE,before,0.00001,FALSE
05/08/2019 10:26,1,regression,relu,128,FALSE,FALSE,before,0.005,FALSE
07/08/2019 23:20,20,regression,relu,128,FALSE,FALSE,before,0.0002,FALSE
08/08/2019 00:21,30,classification,relu,128,FALSE,FALSE,before,0.0001,FALSE
07/08/2019 23:08,35,classification,relu,128,FALSE,TRUE,after,0.0001,FALSE
07/08/2019 23:24,25,regression,relu,128,FALSE,TRUE,after,0.0002,FALSE
05/08/2019 10:20,5,classification,relu,128,FALSE,FALSE,before,0.005,FALSE
05/08/2019 14:34,15,classification,relu,128,FALSE,FALSE,before,0.00001,FALSE
05/08/2019 12:30,10,regression,relu,128,FALSE,FALSE,before,0.00005,FALSE
12/08/2019 19:18,53,regression,relu,128,FALSE,TRUE,after,0.0002,TRUE
